date,state,State,Population,Negative PCR tests,Cases or Positive PCR tests,Cases Per 100000,Total PCR tests,PCR Per 100000,Positivity
20200528,NH,New Hampshire,1359711,61310,4286,315,65596,4824,0.07
20200528,KS,Kansas,2913314,75151,,0,75151,2580,0
20200528,NJ,New Jersey,8882190,528042,157815,1777,685857,7722,0.23
20200528,IN,Indiana,6732219,209219,,0,209219,3108,0
20200528,NM,New Mexico,2096829,172291,7252,346,179543,8563,0.04
20200528,IL,Illinois,12671821,714133,115833,914,829966,6550,0.14
20200528,NV,Nevada,3080156,122982,8208,266,131190,4259,0.06
20200528,ID,Idaho,1787065,41144,2485,139,43629,2441,0.06
20200528,NY,New York,19453561,1510056,366733,1885,1876789,9648,0.2
20200528,IA,Iowa,3155070,124360,18573,589,142933,4530,0.13
20200528,OH,Ohio,11689100,326097,31625,271,357722,3060,0.09
20200528,HI,Hawaii,1415872,51195,,0,51195,3616,0
20200528,OK,Oklahoma,3956971,176136,6270,158,182406,4610,0.03
20200528,GU,Guam,165768,5790,164,99,5954,3592,0.03
20200528,OR,Oregon,4217737,115561,3994,95,119555,2835,0.03
20200528,GA,Georgia,10617423,399576,45070,424,444646,4188,0.1
20200528,PA,Pennsylvania,12801989,357804,68104,532,425908,3327,0.16
20200528,FL,Florida,21477737,898331,53285,248,951616,4431,0.06
20200528,PR,Puerto Rico,3725789,60422,1280,34,61702,1656,0.02
20200528,DE,Delaware,973764,47630,,0,47630,4891,0
20200528,RI,Rhode Island,1059361,94575,14630,1381,109205,10309,0.13
20200528,DC,District of Columbia,705749,35022,,0,35022,4962,0
20200528,SC,South Carolina,5148714,171461,10788,210,182249,3540,0.06
20200528,CT,Connecticut,3565287,193966,,0,193966,5440,0
20200528,SD,South Dakota,884659,34233,,0,34233,3870,0
20200528,CO,Colorado,5758736,138356,22440,390,160796,2792,0.14
20200528,TN,Tennessee,6829174,394310,21679,317,415989,6091,0.05
20200528,CA,California,39512223,1688862,101697,257,1790559,4532,0.06
20200528,TX,Texas,28995881,813442,59776,206,873218,3012,0.07
20200528,AZ,Arizona,7278717,185151,,0,185151,2544,0
20200528,UT,Utah,3205958,194586,8921,278,203507,6348,0.04
20200528,AS,American Samoa,55465,174,0,0,174,314,0
20200528,VA,Virginia,8535519,245880,39393,462,285273,3342,0.14
20200528,AR,Arkansas,3017804,112364,6538,217,118902,3940,0.05
20200528,VI,U.S. Virgin Islands,106977,1617,,0,1617,1512,0
20200528,AL,Alabama,4903185,184171,16310,333,200481,4089,0.08
20200528,VT,Vermont,623989,30178,974,156,31152,4992,0.03
20200528,AK,Alaska,731545,47545,425,58,47970,6557,0.01
20200528,WA,Washington,7614893,347748,22285,293,370033,4859,0.06
20200528,WI,Wisconsin,5822434,220719,16974,292,237693,4082,0.07
20200528,MO,Missouri,6137428,158394,12470,203,170864,2784,0.07
20200528,WV,West Virginia,1792147,88409,,0,88409,4933,0
20200527,WI,Wisconsin,5822434,210605,16462,283,227067,3900,0.07
20200527,NC,North Carolina,10488084,339528,24628,235,364156,3472,0.07
20200527,MT,Montana,1068778,35162,481,45,35643,3335,0.01
20200527,MS,Mississippi,2976149,134088,14044,472,148132,4977,0.09
20200527,ND,North Dakota,762062,64901,2439,320,67340,8837,0.04
20200527,MO,Missouri,6137428,153029,12275,200,165304,2693,0.07
20200527,WV,West Virginia,1792147,86594,,0,86594,4832,0
20200527,MI,Michigan,9986857,505609,57695,578,563304,5640,0.1
20200527,ME,Maine,1344212,43480,1914,142,45394,3377,0.04
20200527,MD,Maryland,6045680,213632,48423,801,262055,4335,0.18
20200527,NE,Nebraska,1934408,77802,12619,652,90421,4674,0.14
20200527,MA,Massachusetts,6892503,457924,93693,1359,551617,8003,0.17
20200527,NH,New Hampshire,1359711,60001,4231,311,64232,4724,0.07
20200527,LA,Louisiana,4648794,309150,38497,828,347647,7478,0.11
